student_id,cgpa,ug_branch,projects_count,internships_count,skills,area_of_interest,career_goal,chosen_masters_program,program_id,field,duration_years,example_universities,region,category
STU001,8.16,EEE,3,2,Cloud Computing|SQL|Web Development,Business & Strategy,Business Analyst,MBA Business Analytics,P06,Analytics / Management,2.0,ISB; IIM Bangalore; SPJIMR,India,Management
STU002,9.22,Mathematics,4,1,Deep Learning|Machine Learning|Python|SQL|UI/UX Design,Artificial Intelligence,Research Scientist,M.Tech Artificial Intelligence,P02,Artificial Intelligence,2.0,IIIT Hyderabad; IIT Madras; IISc Bangalore,India,Technical
STU003,8.17,Statistics,6,3,C++|Data Visualization|Machine Learning|Python|SQL,Artificial Intelligence,ML Engineer,M.Sc Data Science,P03,Data Science,2.0,IIT Madras; CMI; University of Hyderabad,India,Technical
STU004,8.46,IT,4,3,Data Visualization|Java|Python,Cloud & DevOps,Software Engineer,M.Tech Computer Science & Engineering,P01,Computer Science,2.0,IIT Bombay; NIT Trichy; IIIT Hyderabad,India,Technical
STU005,8.85,IT,2,1,Cloud Computing|Cybersecurity|DevOps|Machine Learning|Python,Cybersecurity,Cloud Architect,MS Cybersecurity,P10,Cybersecurity,1.5,Northeastern; NYU Tandon; Purdue,Abroad,Technical
STU006,8.94,Statistics,5,3,Cybersecurity|Python|SQL,Data Science & Analytics,ML Engineer,MS Data Science,P05,Data Science,1.5,Columbia; NYU; University of Michigan,Abroad,Technical
STU007,9.71,CSE,6,1,Cloud Computing|Data Visualization|Java|Machine Learning|Python|Web Development,Cloud & DevOps,Research Scientist,MS Computer Science,P04,Computer Science,2.0,Stanford; Carnegie Mellon; Georgia Tech,Abroad,Technical
STU008,7.31,IT,2,2,Java|Machine Learning|Python|Web Development,Software Development,Product Manager,M.Des Human-Computer Interaction,P08,HCI / Design,2.0,IIIT Delhi; IIT Guwahati; IDC IIT Bombay,India,Design
STU009,7.77,ECE,3,3,C++|Java|Machine Learning|Python|UI/UX Design|Web Development,Product & UX Design,Product Manager,M.Des Human-Computer Interaction,P08,HCI / Design,2.0,IIIT Delhi; IIT Guwahati; IDC IIT Bombay,India,Design
STU010,8.27,IT,4,1,Cloud Computing|DevOps|Java|Python|UI/UX Design|Web Development,Software Development,Cloud Architect,M.Tech Software Engineering,P09,Software Engineering,2.0,BITS Pilani; VIT; IIIT Bangalore,India,Technical
STU011,7.39,ECE,4,1,DevOps|Java|Python|UI/UX Design|Web Development,Product & UX Design,UX Designer,M.Des Human-Computer Interaction,P08,HCI / Design,2.0,IIIT Delhi; IIT Guwahati; IDC IIT Bombay,India,Design
STU012,7.59,IT,6,1,C++|Cloud Computing|Python|Web Development,Software Development,Software Engineer,M.Tech Computer Science & Engineering,P01,Computer Science,2.0,IIT Bombay; NIT Trichy; IIIT Hyderabad,India,Technical
STU013,8.15,ECE,4,3,C++|Deep Learning|Java|Python|UI/UX Design|Web Development,Product & UX Design,Product Manager,M.Des Human-Computer Interaction,P08,HCI / Design,2.0,IIIT Delhi; IIT Guwahati; IDC IIT Bombay,India,Design
